Claim Number,Restaurant Name,Borough Code,Address1,ZIPCODE,GRADE
50100201,EAT HERE NOW,Manhattan,2 AVENUE,10016,A
41645481,2 PALMITAS MEXICAN DELI,Queens,JAMAICA AVENUE,11418,B
50071590,TAMBOUR BISTRO,Brooklyn,5 AVENUE,11215,A
50065358,ANDIAMO CAFE,Bronx,GRAND CONCOURSE,10468,P
50063183,SIENA CAFE,Manhattan,3 AVENUE,10128,B
50063233,FRESNO II GOURMET DELI,Manhattan,AVENUE C,10009,B
41381879,DUNKIN DONUTS,Queens,CROSSBAY BOULEVARD,11417,A
50000388,DONA ZITA MEXICAN FOOD,Brooklyn,BOWERY STREET,11224,A
41305598,LUGO LOUNGE & RESTAURANT,Queens,CYPRESS AVENUE,11385,A
50110461,TACO CITY CUISINE,Queens,BROADWAY,11103,A
50071085,IKINARI STEAK,Manhattan,WEST   46 STREET,10036,A
50003299,LEO'S PIZZA,Queens,36 AVENUE,11106,A
50089529,QUIET BAR RESTAURANT,Bronx,EAST TREMONT AVENUE,10457,A
50046954,SHAKE SHACK,Manhattan,BROADWAY,10038,A
50079043,"DOMODOMO KITCHEN, RAW BAR",Manhattan,W HOUSTON ST,10012,A
50103352,A10TH KITCHEN,Manhattan,AVENUE A,10009,N
50033400,PALACE ON FULTON,Brooklyn,FULTON STREET,11233,A
50013399,JULIA'S BEER AND WINE BAR,Queens,WOODWARD AVENUE,11385,A
41698701,CURRY KING,Manhattan,COLUMBUS AVENUE,10025,A
41691658,LORENAS FRUIT,Queens,108 STREET,11368,B
50058195,LIANJIANG RESTAURANT,Manhattan,DIVISION STREET,10002,A
50034622,EMPEROR'S HOUSE,Staten Island,FOREST AVENUE,10310,A
50088840,FUKU,Manhattan,HUDSON YARDS,10001,A
